,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
165,Nicolás De La Cruz,uy URU,MF,Flamengo,29-017,1997,10,232,23,15.2,2.6,1,72,0,9,18,2,1.80,3,5,-2,-0.78,-1.95,Matches,8fda5c72
166,Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-343,2002,0,,,,,0,,0,0,,18,,,,,,,Matches,012beb6e
167,Dell,br BRA,FW,Bahia,18-009,2008,4,72,18,4.7,0.8,0,,0,4,18,4,1.75,0,1,-1,-1.25,-1.44,Matches,1c5c98ed
168,Denilson,br BRA,MF,Mirassol,25-087,2001,10,491,49,32.1,5.5,7,60,0,3,23,7,1.10,7,5,+2,+0.37,+1.06,Matches,9144afdf
169,Leonardo Derik,br BRA,MFDF,Athletico–PR,20-329,2005,10,505,51,31.2,5.6,4,64,1,6,41,6,1.10,4,5,-1,-0.18,-0.74,Matches,23bc4ec7
170,Arthur Dias,br BRA,DF,Athletico–PR,19-069,2007,17,1492,88,92.1,16.6,17,88,15,0,,0,1.76,22,15,+7,+0.42,+1.13,Matches,60a6d677
171,Enzo Díaz,ar ARG,DF,São Paulo,30-193,1995,13,927,71,57.2,10.3,11,80,7,2,22,0,1.08,12,13,-1,-0.10,-0.62,Matches,411d2dc0
172,Lautaro Díaz,ar ARG,FW,Santos,28-028,1998,8,243,30,15.0,2.7,2,83,1,6,13,7,0.63,3,9,-6,-2.22,-2.42,Matches,28b89ba7
173,Dieguinho,br BRA,MF,Corinthians,18-337,2007,8,135,17,8.3,1.5,0,,0,8,17,8,0.88,3,2,+1,+0.67,+0.79,Matches,5c983aa2
174,Diogenes,br BRA,GK,Santos,25-163,2001,2,180,90,11.1,2.0,2,90,2,0,,16,2.00,4,2,+2,+1.00,+1.31,Matches,858e2e40
175,Dodi,br BRA,MF,Grêmio,30-062,1996,6,184,31,11.4,2.0,1,60,0,5,25,9,1.33,1,4,-3,-1.47,-1.47,Matches,2830b8f7
176,Dodô,br BRA,MF,Remo,31-286,1994,1,24,24,1.5,0.3,0,,0,1,24,0,0.00,0,1,-1,-3.75,-3.36,Matches,af7fd224
177,Eduardo Doma,br BRA,DF,Chapecoense,27-293,1998,15,1280,85,83.7,14.2,15,85,12,0,,0,0.60,15,28,-13,-0.91,+0.17,Matches,57f4a036
178,Gustavo Domingos Santana,br BRA,FW,São Paulo,20-289,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,b5ecc368
179,Dória,br BRA,DF,São Paulo,31-222,1994,4,228,57,14.1,2.5,2,90,2,2,24,12,1.50,5,6,-1,-0.39,-0.65,Matches,d28b4a9d
180,Matheus dos Reis,br BRA,FW,Fluminense,19-077,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,b3e08bce
181,Thiago dos Santos,br BRA,MF,Coritiba,36-286,1989,11,446,41,27.5,5.0,5,78,1,6,10,6,1.73,7,9,-2,-0.40,-0.56,Matches,5408d2b2
182,Alexis Duarte,py PAR,DF,Santos,26-098,2000,1,90,90,5.6,1.0,1,90,1,0,,0,0.00,2,4,-2,-2.00,-1.94,Matches,a9f8c8c2
183,David Duarte,br BRA,DF,Bahia,31-145,1995,11,990,90,64.7,11.0,11,90,11,0,,2,1.36,17,16,+1,+0.09,-0.08,Matches,91bf16f7
184,Dudu,br BRA,MF,Athletico–PR,20-168,2006,11,598,54,36.9,6.6,7,70,0,4,27,5,1.82,12,6,+6,+0.90,+0.90,Matches,630a919d
185,Dudu,br BRA,MF,Vitória,27-013,1999,3,168,56,11.0,1.9,1,78,0,2,45,0,1.00,4,4,0,0.00,+0.26,Matches,c9ebe876
186,Dudu,br BRA,MF,Atlético Mineiro,34-162,1992,12,313,26,19.3,3.5,2,53,0,10,21,6,1.17,5,7,-2,-0.58,-0.64,Matches,895ef5ec
187,Edenilson,br BRA,DF,Vitória,21-001,2005,8,379,47,24.8,4.2,4,54,1,4,41,6,1.38,5,4,+1,+0.24,+0.63,Matches,4edc21a7
188,Edenílson,br BRA,MF,Grêmio,36-182,1989,3,152,51,9.4,1.7,2,65,1,1,23,0,1.00,2,4,-2,-1.18,-1.12,Matches,4e50f20e
189,Edenílson,br BRA,MFFW,Botafogo–RJ,36-182,1989,12,569,47,37.2,6.3,6,70,0,6,25,2,1.58,13,11,+2,+0.32,+0.50,Matches,4e50f20e
190,EDU,br BRA,DF,Vitória,26-002,2000,1,70,70,4.6,0.8,1,70,0,0,,0,1.00,1,1,0,0.00,+0.25,Matches,01dc4e41
191,Carlos Eduardo,br BRA,MF,Mirassol,36-244,1989,11,553,50,36.1,6.1,6,74,1,5,22,0,1.09,10,12,-2,-0.33,+0.04,Matches,1a234d32
192,Carlos Eduardo,br BRA,MFFW,Mirassol,29-251,1996,10,505,51,33.0,5.6,7,59,0,3,31,3,1.20,4,7,-3,-0.53,-0.27,Matches,27c23008
193,Luis Eduardo,br BRA,DF,Grêmio,18-153,2008,2,180,90,11.1,2.0,2,90,2,0,,3,2.00,4,3,+1,+0.50,+0.75,Matches,ef49e2ed
194,Vinicius Eduardo,br BRA,DF,Chapecoense,21-120,2005,2,62,31,4.1,0.7,0,,0,2,31,2,0.00,1,1,0,0.00,+0.98,Matches,3f0afcf0
195,Emerson,br BRA,DF,Flamengo,27-155,1999,8,494,62,32.3,5.5,6,77,3,2,18,9,2.13,11,5,+6,+1.09,+0.31,Matches,df8b52a5
196,Leandro Emmanuel Martínez,ar ARG,MF,Vitória,32-014,1994,14,1108,79,72.4,12.3,12,86,11,2,37,1,1.29,16,16,0,0.00,+0.85,Matches,74758396
197,José Enamorado,co COL,MFFW,Grêmio,27-156,1999,17,851,50,52.5,9.5,10,65,0,7,29,1,1.06,9,10,-1,-0.11,+0.13,Matches,5a1ce0cb
198,Ênio,br BRA,MFFW,Chapecoense,25-107,2001,9,636,71,41.6,7.1,7,81,3,2,33,5,0.22,6,12,-6,-0.85,+0.16,Matches,661b892f
199,Erick,br BRA,MF,Bahia,28-216,1997,14,846,60,55.3,9.4,8,88,7,6,24,2,1.64,15,12,+3,+0.32,+0.45,Matches,8a826636
200,Erick,br BRA,MFFW,Vitória,28-190,1997,16,1163,73,76.0,12.9,13,78,3,3,48,0,1.31,17,18,-1,-0.08,+0.66,Matches,8edcad0d
201,Gonzalo Escobar,ar ARG,DF,Santos,29-094,1997,12,1047,87,64.6,11.6,12,87,11,0,,5,1.33,16,15,+1,+0.09,+0.71,Matches,12207ec1
202,Lucas Esquivel,ar ARG,DFMF,Athletico–PR,24-247,2001,14,1115,80,68.8,12.4,14,80,8,0,,1,1.71,20,11,+9,+0.73,+1.26,Matches,404169c2
203,Diego Esser,br BRA,GK,Internacional,21-066,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,b664789f
204,Guilherme Estrella,br BRA,MF,Vasco da Gama,21-057,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,df090e8c
205,Vitor Eudes,br BRA,GK,Fluminense,27-240,1998,0,,,,,0,,0,0,,15,,,,,,,Matches,b7a95ab2
206,Lucas Evangelista,br BRA,MF,Palmeiras,31-043,1995,16,395,25,24.4,4.4,2,58,0,14,20,1,2.31,3,2,+1,+0.23,-0.95,Matches,5f4ce4b6
207,Éverson,br BRA,GK,Atlético Mineiro,35-331,1990,18,1620,90,100.0,18.0,18,90,18,0,,0,1.33,22,23,-1,-0.06,,Matches,a59c090b
208,Everton,br BRA,FWMF,Mirassol,29-093,1997,8,232,29,15.2,2.6,0,,0,8,29,8,0.88,3,3,0,0.00,+0.42,Matches,3b66e70c
209,Everton,br BRA,MFDF,Chapecoense,31-069,1995,14,951,68,62.2,10.6,12,71,4,2,51,0,0.64,9,20,-11,-1.04,-0.26,Matches,507781a4
210,Evertton,br BRA,MF,Flamengo,23-110,2003,13,846,65,55.3,9.4,11,73,5,2,20,2,2.08,18,7,+11,+1.17,+0.64,Matches,4961c6f4
211,Fabinho,br BRA,FWMF,Coritiba,26-212,1999,7,94,13,5.8,1.0,0,,0,7,13,8,1.57,1,1,0,0.00,0.00,Matches,7ea8af29
212,Fabinho,br BRA,MF,RB Bragantino,24-070,2002,5,223,45,13.8,2.5,3,59,0,2,23,8,1.40,1,4,-3,-1.21,-1.79,Matches,ff0e595c
213,Fábio,br BRA,GK,Fluminense,45-261,1980,18,1620,90,100.0,18.0,18,90,18,0,,0,1.72,28,23,+5,+0.28,,Matches,15825726
214,Fabrício,br BRA,FW,Vitória,25-253,2000,8,189,24,12.4,2.1,1,77,0,7,16,5,0.88,2,7,-5,-2.38,-2.45,Matches,e2290a67
215,Fagner,br BRA,DF,Cruzeiro,37-007,1989,12,712,59,44.0,7.9,8,82,4,4,15,5,1.58,8,11,-3,-0.38,-0.28,Matches,a9cc58fe
216,Rodrigo Falcão,br BRA,GK,Santos,21-087,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,464456f9
217,Juan Felipe Aguirre,co COL,DF,Athletico–PR,29-293,1996,14,1160,83,71.6,12.9,13,86,11,1,46,4,1.64,17,13,+4,+0.31,-0.08,Matches,72898527
218,Luiz Felipe,br BRA,MF,Flamengo,18-130,2008,0,,,,,0,,0,0,,6,,,,,,,Matches,bf9728c9
219,Luiz Felipe,br BRA,DF,Internacional,20-030,2006,1,5,5,0.3,0.1,0,,0,1,5,3,3.00,0,0,0,0.00,+0.06,Matches,f519264a
220,Felipinho,br BRA,MF,Athletico–PR,24-243,2001,7,360,51,22.2,4.0,4,82,1,3,11,9,1.57,3,3,0,0.00,-0.43,Matches,b31af3a6
221,Igor Felisberto,br BRA,DF,São Paulo,19-103,2007,0,,,,,0,,0,0,,2,,,,,,,Matches,81fd8dd4
222,Pepê Fermino,br BRA,MF,Santos,19-126,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,76a45ec3
223,Matheus Fernandes,br BRA,MF,RB Bragantino,27-353,1998,11,657,60,40.6,7.3,8,68,0,3,38,1,1.55,12,8,+4,+0.55,+0.36,Matches,f76fdcd2
224,Nathan Fernandes,br BRA,DF,Botafogo–RJ,21-122,2005,4,81,20,5.3,0.9,0,,0,4,20,3,0.75,3,2,+1,+1.11,+1.17,Matches,239bbd8b
225,Roger Fernandes,br BRA,FW,Grêmio,18-050,2008,2,33,17,2.0,0.4,0,,0,2,17,5,2.00,0,0,0,0.00,+0.17,Matches,1fe12f16
226,Fernando,br BRA,MF,RB Bragantino,27-109,1999,8,188,24,11.6,2.1,1,72,0,7,17,2,2.00,5,1,+4,+1.91,+1.79,Matches,d9d43555
227,Luiz Fernando,br BRA,FWMF,Athletico–PR,29-245,1996,1,10,10,0.6,0.1,0,,0,1,10,0,3.00,0,0,0,0.00,-0.34,Matches,824ed016
228,Nahuel Ferraresi,ve VEN,DF,São Paulo,27-211,1998,2,21,11,1.3,0.2,0,,0,2,11,2,2.00,0,0,0,0.00,-0.17,Matches,719aab45
229,Nahuel Ferraresi,ve VEN,DF,Botafogo–RJ,27-211,1998,12,918,77,60.0,10.2,10,86,8,2,30,0,1.50,18,16,+2,+0.20,+0.49,Matches,719aab45
230,Ferreira,br BRA,MFFW,São Paulo,28-169,1997,13,517,40,31.9,5.7,6,70,1,7,14,3,1.15,10,6,+4,+0.70,+0.78,Matches,1414e902
231,Djhordney Ferreira,br BRA,MF,São Paulo,19-001,2007,2,61,31,3.8,0.7,1,45,0,1,16,3,2.00,0,1,-1,-1.48,-1.71,Matches,d93eadad
232,Nicolás Ferreira,uy URU,FW,Remo,24-131,2002,1,21,21,1.3,0.2,0,,0,1,21,4,0.00,0,0,0,0.00,+0.45,Matches,eaa5c295
233,Filipe,br BRA,FW,RB Bragantino,20-125,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,7b91206c
234,Riquelme Fillipi,br BRA,FW,Palmeiras,19-276,2006,2,53,27,3.3,0.6,0,,0,2,27,7,2.00,2,0,+2,+3.40,+2.53,Matches,6f913257
235,Fintelman,br BRA,GK,Vitória,24-333,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,84cf5a2e
236,Nathan Fogaça,br BRA,FW,Mirassol,27-009,1999,10,352,35,23.0,3.9,2,69,0,8,27,2,1.18,6,6,0,0.00,+0.46,Matches,aad135a3
237,Jeferson Forneck,br BRA,MF,Grêmio,19-186,2006,1,5,5,0.3,0.1,0,,0,1,5,1,3.00,0,0,0,0.00,+0.17,Matches,c8b76684
238,Matheus França,br BRA,FW,Vasco da Gama,22-078,2004,3,65,22,4.0,0.7,0,,0,3,22,9,1.33,0,1,-1,-1.38,-1.04,Matches,077faf72
239,Alan Franco,ec ECU,MFDF,Atlético Mineiro,27-301,1998,15,1304,87,80.5,14.5,15,87,13,0,,1,1.13,16,21,-5,-0.35,-1.48,Matches,c76b161b
240,Alan Franco,ar ARG,DF,São Paulo,29-250,1996,13,1073,83,66.2,11.9,13,83,9,0,,0,1.38,13,13,0,0.00,-0.49,Matches,a548281c
241,Lucas Freitas,br BRA,DF,Vasco da Gama,25-149,2001,2,4,2,0.2,0.0,0,,0,2,2,14,2.00,0,1,-1,-22.50,-22.17,Matches,a92be6c1
242,Marlon Freitas,br BRA,MF,Palmeiras,31-083,1995,17,1484,87,91.6,16.5,17,87,14,0,,0,2.24,29,13,+16,+0.97,+0.31,Matches,ae3181de
243,Riquelme Freitas,br BRA,MF,Grêmio,19-309,2006,2,40,20,2.5,0.4,0,,0,2,20,4,2.00,0,0,0,0.00,+0.17,Matches,36e163aa
244,Juan Freytes,ar ARG,DF,Fluminense,26-158,2000,15,1350,90,83.3,15.0,15,90,15,0,,1,1.93,23,17,+6,+0.40,+0.73,Matches,b9863758
245,Adonis Frías,ar ARG,DF,Santos,28-093,1998,8,675,84,41.7,7.5,8,84,7,0,,8,1.13,11,12,-1,-0.13,+0.06,Matches,1b2f1090
246,Bruno Fuchs,br BRA,DF,Palmeiras,27-078,1999,7,507,72,31.3,5.6,5,90,5,2,29,9,2.29,6,3,+3,+0.53,-0.60,Matches,ee89e28d
247,Daniel Fuzato,br BRA,GK,Vasco da Gama,28-349,1997,0,,,,,0,,0,0,,18,,,,,,,Matches,82328faf
248,Gabriel,br BRA,DF,Bahia,25-043,2001,6,429,72,28.0,4.8,5,79,3,1,33,9,1.75,8,9,-1,-0.21,-0.46,Matches,4fd28619
249,Gabriel,br BRA,MF,Mirassol,32-273,1993,7,254,36,16.6,2.8,2,62,0,5,26,0,0.14,1,6,-5,-1.77,-1.70,Matches,0d10333c
250,Gabriel,br BRA,GK,Vitória,33-264,1992,4,360,90,23.5,4.0,4,90,4,0,,10,0.75,5,10,-5,-1.25,-1.33,Matches,f93ed0df
251,Gabriel,br BRA,MF,RB Bragantino,33-343,1992,16,1187,74,73.3,13.2,16,74,5,0,,1,1.75,21,13,+8,+0.61,+1.02,Matches,e9c0d5d8
252,Jean Gabriel,br BRA,MF,Coritiba,23-123,2003,0,,,,,0,,0,0,,2,,,,,,,Matches,006f9df8
253,Pedro Gabriel,br BRA,DFMF,Grêmio,19-012,2007,9,704,78,43.5,7.8,9,78,6,0,,2,0.78,4,8,-4,-0.51,-0.61,Matches,9a05bad9
254,Rhuan Gabriel,br BRA,MF,Cruzeiro,20-132,2006,1,13,13,0.8,0.1,0,,0,1,13,2,0.00,0,0,0,0.00,+0.22,Matches,a9452270
255,Thalisson Gabriel,br BRA,DF,Remo,24-149,2002,0,,,,,0,,0,0,,3,,,,,,,Matches,e494b1e4
256,Victor Gabriel,br BRA,DF,Internacional,22-051,2004,15,1176,78,72.6,13.1,13,87,12,2,23,0,1.07,14,17,-3,-0.23,-0.63,Matches,d1c8df97
257,Antonio Galeano,py PAR,MF,Mirassol,26-088,2000,11,292,27,19.1,3.2,2,57,0,9,20,4,0.91,4,6,-2,-0.62,-0.33,Matches,f7d301ee
258,Ganso,br BRA,MF,Fluminense,36-249,1989,12,338,28,20.9,3.8,2,78,0,10,18,3,1.92,5,6,-1,-0.27,-0.69,Matches,23593121
259,Maurício Garcez,br BRA,FW,Chapecoense,29-094,1997,8,436,55,28.5,4.8,3,90,3,5,33,1,0.38,7,11,-4,-0.83,+0.16,Matches,1c060dbf
260,Rodrigo Garro,ar ARG,MFFW,Corinthians,28-165,1998,18,1221,68,75.4,13.6,14,75,1,4,42,0,1.33,13,14,-1,-0.07,-0.07,Matches,42b3b51f
261,Gean,br BRA,DF,Vitória,21-101,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,90dbca13
262,Gerson,br BRA,MF,Cruzeiro,29-029,1997,17,1347,79,83.1,15.0,17,79,7,0,,0,1.41,19,21,-2,-0.13,+0.53,Matches,8827bf46
263,Agustín Giay,ar ARG,DF,Palmeiras,22-153,2004,15,1008,67,62.2,11.2,11,85,8,4,17,2,2.27,17,6,+11,+0.98,+0.10,Matches,8047b72e
264,Gilberto,br BRA,DF,Bahia,33-103,1993,7,488,70,31.9,5.4,5,80,3,2,45,6,1.71,10,5,+5,+0.92,+1.18,Matches,1338e42b
265,Gilberto,br BRA,MF,Athletico–PR,21-083,2005,5,267,53,16.5,3.0,3,75,2,2,21,11,2.00,3,3,0,0.00,-0.40,Matches,9aea767e
266,Johnny Góes,br BRA,DF,Flamengo,19-083,2007,0,,,,,0,,0,0,,2,,,,,,,Matches,f274d13e
267,Bruno Gomes,br BRA,DF,Internacional,25-075,2001,18,1434,80,88.5,15.9,17,82,10,1,45,0,1.17,20,20,0,0.00,+0.48,Matches,76f2bbf8
268,Davi Gomes,br BRA,FW,RB Bragantino,21-012,2005,2,25,13,1.5,0.3,0,,0,2,13,5,0.00,0,0,0,0.00,-0.34,Matches,4081e2e8
269,Igor Gomes,br BRA,MF,Atlético Mineiro,27-093,1999,5,231,46,14.3,2.6,2,71,0,3,30,12,1.00,4,5,-1,-0.39,-0.39,Matches,6a7fb945
