,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
575,Riquelme,br BRA,MF,Fluminense,19-097,2007,3,42,14,2.6,0.5,0,,0,3,14,3,1.33,2,0,+2,+4.29,+4.11,Matches,ce31d798
576,Diogo Riquelme,br BRA,MF,Athletico–PR,21-056,2005,4,66,17,4.1,0.7,0,,0,4,17,4,2.50,1,0,+1,+1.36,+1.07,Matches,4c347e95
577,Robert,br BRA,GK,Atlético Mineiro,21-135,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,f0b3d428
578,Marcos Rocha,br BRA,MFDF,Grêmio,37-189,1988,4,150,38,9.3,1.7,2,52,0,2,23,14,1.00,2,2,0,0.00,+0.18,Matches,fdd2f275
579,Pedro Rocha Neves,br BRA,FW,Coritiba,31-261,1994,18,1415,79,87.3,15.7,18,79,6,0,,0,1.44,23,19,+4,+0.25,+2.01,Matches,b33e0095
580,Sergio Rochet,uy URU,GK,Internacional,33-087,1993,11,990,90,61.1,11.0,11,90,11,0,,0,1.18,10,11,-1,-0.09,-0.09,Matches,81b99b9e
581,Rodrigo,br BRA,MF,RB Bragantino,22-094,2004,9,318,35,19.6,3.5,3,63,0,6,22,5,0.78,5,5,0,0.00,-0.41,Matches,1126f4e2
582,Rodrigues,br BRA,DF,Mirassol,28-251,1997,2,49,25,3.2,0.5,1,45,0,1,4,9,2.00,0,2,-2,-3.67,-3.43,Matches,67f5e064
583,Alisson Rodrigues,br BRA,DF,Internacional,17-322,2008,0,,,,,0,,0,0,,2,,,,,,,Matches,8434bef6
584,Arthur Rodrigues Monteiro,br BRA,DF,Athletico–PR,16-281,2009,0,,,,,0,,0,0,,1,,,,,,,Matches,407de6ec
585,Alan Rodríguez,uy URU,MF,Internacional,26-144,2000,7,231,33,14.3,2.6,2,79,1,5,15,3,0.86,1,4,-3,-1.17,-1.30,Matches,fcd24b4b
