,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
92,Luan Cândido,br BRA,DF,Vitória,25-136,2001,10,8,777,8.6,0,2,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,ca151606
93,Germán Cano,ar ARG,FW,Fluminense,38-136,1988,4,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ccf4e14
94,Agustín Canobbio,uy URU,MF,Fluminense,27-260,1998,11,11,856,9.5,4,1,5,4,0,0,3,1,0.42,0.11,0.53,0.42,0.53,Matches,4f5a2f38
95,Aitor Cantalapiedra,es ESP,MF,Vitória,30-128,1996,8,4,338,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,21a260a8
96,Juninho Capixaba,br BRA,DF,RB Bragantino,28-347,1997,16,16,1427,15.9,3,2,5,3,0,0,9,0,0.19,0.13,0.32,0.19,0.32,Matches,91ba7336
97,Johan Carbonero,co COL,MFFW,Internacional,26-333,1999,17,13,1123,12.5,4,3,7,4,0,0,3,0,0.32,0.24,0.56,0.32,0.56,Matches,9eca9710
98,Edson Carioca,br BRA,FWMF,Mirassol,28-349,1997,11,5,475,5.3,1,0,1,1,0,0,4,0,0.19,0.00,0.19,0.19,0.19,Matches,14c679d6
99,Igor Cariús,br BRA,DF,Mirassol,33-048,1993,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,662475de
100,Jean Carlos Vicente,br BRA,MF,Chapecoense,34-123,1992,17,4,659,7.3,2,2,4,2,0,0,2,0,0.27,0.27,0.55,0.27,0.55,Matches,db4b7637
101,Jorge Carrascal,co COL,MF,Flamengo,28-024,1998,13,6,617,6.9,2,1,3,2,0,0,1,2,0.29,0.15,0.44,0.29,0.44,Matches,3f9f0d62
